1;"Madonna della Quercia";"Viterbo";"VITERBO  (VT )  - La Quercia"
2;"Madonna dei Capitelli";"Vicenza";"MAROSTICA  (VI )  - Capitelli di Vallonara"
3;"Madonna del Covolo";"Padova";"CRESPANO DEL GRAPPA  (TV )  - Monte Frontale (alle pendici del Monte Grappa)"
4;"Santa Maria Maggiore";"Treviso";"TREVISO  (TV )"
5;"Madonna del Pedancino";"Padova";"CISMON DEL GRAPPA  (VI )"
6;"San Rocco";"";"TREVISO  (TV )"
7;"Madonna di Bresimo";"Trento";"BRESIMO  (TN )  - Baselga"
8;"Madonna del Féles di Bosentino";"Trento";"BOSENTINO  (TN )"
9;"L'Addolorata di Cavalese";"Trento";"CAVALESE  (TN )"
10;"Madonna di Civezzano";"Trento";"CIVEZZANO  (TN )"
11;"Santa Giuliana di Fassa";"Trento";"VIGO DI FASSA  (TN )"
12;"Madonna di Piné";"Trento";"BASELGA DI PINE'  (TN )  - Montagnaga"
13;"Madonna di Caravaggio in Deggia";"Trento";"SAN LORENZO IN BANALE  (TN )  - Deggia"
14;"Casa del martirio di Santa Maria Goretti";"LatinaTerracina Sezze Priverno";"LATINA  (LT )  - Borgo Le Ferriere"
15;"Madonna del Soccorso";"Latina Terracina Sezze Priverno";"CORI  (LT )"
16;"S. Maria delle Armi";"Cassano Jonio";"CERCHIARA DI CALABRIA  (CS )  - Monte Sellaro"
17;"S.Maria dell'Accoglienza";"Cosenza-Bisignano";"MENDICINO  (CS )"
18;"San Giuseppe da Copertino";"Nardò-Gallipoli";"COPERTINO  (LE )"
19;"San Nicola Greco";"Chieti-Vasto";"GUARDIAGRELE  (CH )"
20;"San Michele Arcangelo";"Manfredonia-Vieste";"MONTE SANT'ANGELO  (FG )"
21;"Santissimo Crocefisso di Castro";"Viterbo";"VITERBO  (VT )  - Castro"
22;"Madonna Liberatrice";"Viterbo";"VITERBO  (VT )"
24;"Madonna dell'Assunta";"Chieti-Vasto";"CASACANDITELLA  (CH )  - Madonna dell'Assunta"
25;"Santa Maria di Carpineto";"Chieti-Vasto";"RAPINO  (CH )"
26;"Santa Maria di Valleverde";"Foggia-Bovino";"BOVINO  (FG )"
27;"Madonna del Castello";"Brescia";"CARPENEDOLO  (BS )"
28;"Santa Maria della Rosa";"Brescia";"CALVISANO  (BS )"
29;"Madonna del Pozzo";"Arcidiocesi di Bari-Bitonto";"CAPURSO  (BA )"
31;"Santa Maria di Sovereto";"Molfetta-Ruvo-Giovinazzo-Terlizzi";"TERLIZZI  (BA )  - Sovereto"
32;"Madonna dell'Oriente";"Avezzano";"TAGLIACOZZO  (AQ )"
33;"Madonna della Libera";"Chieti-Vasto";"FILETTO  (CH )"
34;"Madonna della Madia";"Conversano-Monopoli";"MONOPOLI  (BA )"
35;"Madonna degli Scolari";"Cassano Ionio";"LAINO CASTELLO  (CS )  - loc. Pornia"
36;"Beato Angelo";"Cosenza-Bisignano";"ACRI  (CS )"
37;"Beata Vergine di Tessara";"Padova";"CURTAROLO  (PD )  - Tessara"
38;"Santa Cristina";"Orvieto";"BOLSENA  (VT )"
39;"Santa Maria del Lauro";"San Marco Argentano-Scalea";"SCALEA  (CS )"
40;"Santissimo Crocifisso";"Como";"COMO  (CO )"
